,county,tract,mi_to_dc
396,24033,805700,2.46138807166795
397,24033,805801,2.13302573157807
398,24033,805802,1.65833140793053
399,24033,805904,3.01999996350775
400,24033,805906,3.2947829709093
401,24033,805907,3.05200303280775
402,24033,805908,2.43948320743442
403,24033,805909,2.37254526876477
404,24033,806000,1.83236824475556
405,24033,806100,1.73782498549824
406,24033,806200,1.95094772323418
407,24033,806300,2.13462695652344
408,24033,806400,3.00797780577485
409,24033,806501,2.73312345713204
410,24033,806601,3.1960056841039
411,24033,806602,3.79580814388348
412,24033,806706,5.41292224163279
413,24033,806708,6.8209595330204
414,24033,806710,6.18052722302021
415,24033,806711,6.69718898564942
416,24033,806712,7.55877484052276
417,24033,806713,5.89499428234673
418,24033,806714,5.70539299300096
419,24033,806800,4.910180731884
420,24033,806900,5.63765211243204
421,24033,807000,4.61327979545038
422,24033,807102,3.62329879707807
423,24033,807200,3.7714513936799
424,24033,807301,4.62775857200152
425,24033,807304,4.76883586913541
426,24033,807305,3.96754664077713
427,24033,807404,7.27396585661375
428,24033,807405,6.4852878021505
429,24033,807407,8.33820900155154
430,24033,807408,8.08201373143085
431,24033,807409,5.87112275337463
432,24033,807410,6.29081948368787
